"PSU_ID","component_tracts","n_tracts","NAME","TotHH","TotPerson","TotAdult18plus","n_BG","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","Si","pi1","w1_base"
"26163500100","26163500100",1,"Census Tract 5001; Wayne County; Michigan",1492,3996,2752,2,1087,701,672,292,12.3832114471254,0.229908759993101,4.34955153526994
"26163500200","26163500200",1,"Census Tract 5002; Wayne County; Michigan",1076,3037,2088,2,749,554,496,289,9.40557997324471,0.174625559605269,5.72653855632843
"26163500300","26163500300",1,"Census Tract 5003; Wayne County; Michigan",917,2149,1464,2,598,375,354,137,6.58999820533306,0.122351000967249,8.17320652952958
"26163500400","26163500400",1,"Census Tract 5004; Wayne County; Michigan",406,751,551,3,143,166,146,96,2.48790777800769,0.0461909089303099,21.6492817127444
"26163500500","26163500500",1,"Census Tract 5005; Wayne County; Michigan",644,1507,1076,2,402,236,268,170,4.82013505949925,0.0894914279111337,11.1742546000385
"26163500600","26163500600",1,"Census Tract 5006; Wayne County; Michigan",1178,2692,1860,4,706,454,474,226,8.3551918995993,0.155123880210186,6.44646071671908
"26163500700","26163500700",1,"Census Tract 5007; Wayne County; Michigan",1679,4109,2779,4,1008,778,702,291,12.5341450756678,0.232711018803558,4.29717511934468
"26163500800","26163500800",1,"Census Tract 5008; Wayne County; Michigan",1009,2569,1784,2,636,483,471,194,8.03454020347099,0.149170607574786,6.70373350526615
"26163500900","26163500900",1,"Census Tract 5009; Wayne County; Michigan",1540,3706,2573,2,940,679,647,307,11.5841879968936,0.215073957936092,4.64956338552688
"26163501000","26163501000",1,"Census Tract 5010; Wayne County; Michigan",1163,2945,2029,2,752,497,521,259,9.11393360891149,0.16921080477639,5.9097880972878
"26163501100","26163501100",1,"Census Tract 5011; Wayne County; Michigan",1345,3328,2287,4,850,573,514,350,10.2896947054739,0.19104018053348,5.23450091602456
"26163501200_26163501300","26163501200,26163501300",2,"Census Tract 5012; Wayne County; Michigan | Census Tract 5013; Wayne County; Michigan",2074,4687,3277,4,1195,809,787,486,14.7296911352183,0.273473891521537,3.65665619645174
"26163501400","26163501400",1,"Census Tract 5014; Wayne County; Michigan",1505,3624,2685,3,867,686,684,448,12.0705553074988,0.224103934187397,4.46221528250279
"26163501500","26163501500",1,"Census Tract 5015; Wayne County; Michigan",1578,4056,2893,3,1027,823,701,342,13.0582801957526,0.242442198477107,4.12469448916677
"26163501600","26163501600",1,"Census Tract 5016; Wayne County; Michigan",907,1955,1467,2,484,338,413,232,6.57082698462515,0.121995064900153,8.19705289569255
"26163501700","26163501700",1,"Census Tract 5017; Wayne County; Michigan",1045,2218,1765,2,481,401,465,418,7.90267525997519,0.146722381137312,6.81559276947759
"26163501800","26163501800",1,"Census Tract 5018; Wayne County; Michigan",1896,4117,3202,2,979,759,852,612,14.3565997446571,0.266547014811542,3.75168335952677
"26163501900","26163501900",1,"Census Tract 5019; Wayne County; Michigan",1112,2490,1720,2,591,475,441,213,7.75201443262733,0.143925187199134,6.94805419023988
"26163502000_26163502600","26163502000,26163502600",2,"Census Tract 5020; Wayne County; Michigan | Census Tract 5026; Wayne County; Michigan",2312,5179,3607,7,1184,920,860,643,16.2235838384019,0.301209751513769,3.31994563580485
"26163502700","26163502700",1,"Census Tract 5027; Wayne County; Michigan",1278,2359,1852,4,506,429,560,357,8.28662403264702,0.15385083780647,6.49980210870159
"26163503100","26163503100",1,"Census Tract 5031; Wayne County; Michigan",1122,2996,2221,2,708,506,611,396,9.94597936199653,0.184658704391616,5.41539595057076
"26163503200","26163503200",1,"Census Tract 5032; Wayne County; Michigan",1202,3002,2068,2,783,572,498,215,9.32847520288118,0.173194019635244,5.77387141949853
"26163503300","26163503300",1,"Census Tract 5033; Wayne County; Michigan",1360,3407,2308,2,805,644,547,312,10.4122529586656,0.193315617413366,5.17288780586052
"26163503400_26163503500","26163503400,26163503500",2,"Census Tract 5034; Wayne County; Michigan | Census Tract 5035; Wayne County; Michigan",1733,3595,2610,4,884,688,663,375,11.7464519609615,0.218086577637347,4.58533491989079
