"PSU_ID","component_tracts","SSU_ID","component_bgs","n_bgs_combined","NAME","TotHH","TotPerson","TotAdult18plus","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","Sij","PSU_Si","Si_check","mos_diff","pi2_cond"
"26163500200","26163500200","261635002001","261635002001",1,"Block Group 1; Census Tract 5002; Wayne County; Michigan",312,857,608,211,160,149,88,2.73716690453455,9.40557997324471,9.40557997324471,1.77635683940025e-15,0.291015217809082
"26163500200","26163500200","261635002002","261635002002",1,"Block Group 2; Census Tract 5002; Wayne County; Michigan",764,2180,1480,538,394,347,201,6.66841306871016,9.40557997324471,9.40557997324471,1.77635683940025e-15,0.708984782190918
"26163500900","26163500900","261635009001","261635009001",1,"Block Group 1; Census Tract 5009; Wayne County; Michigan",661,1657,1154,427,289,302,136,5.18606247984265,11.5841879968936,11.5841879968936,0,0.447684592241885
"26163500900","26163500900","261635009002","261635009002",1,"Block Group 2; Census Tract 5009; Wayne County; Michigan",879,2049,1419,513,390,345,171,6.39812551705094,11.5841879968936,11.5841879968936,0,0.552315407758115
"26163501400","26163501400","261635014001","261635014001",1,"Block Group 1; Census Tract 5014; Wayne County; Michigan",652,1691,1237,381,344,295,217,5.57753958864708,12.0705553074988,12.0705553074988,1.77635683940025e-15,0.462078127025526
"26163501400","26163501400","261635014002","261635014002",1,"Block Group 2; Census Tract 5014; Wayne County; Michigan",412,990,709,238,185,189,97,3.18858960620141,12.0705553074988,12.0705553074988,1.77635683940025e-15,0.26416262756532
"26163501400","26163501400","261635014003","261635014003",1,"Block Group 3; Census Tract 5014; Wayne County; Michigan",441,943,739,248,157,200,134,3.30442611265034,12.0705553074988,12.0705553074988,1.77635683940025e-15,0.273759245409154
"26163502000_26163502600","26163502000","261635020001","261635020001",1,"Block Group 1; Census Tract 5020; Wayne County; Michigan",766,1858,1289,437,357,346,149,5.80764681075865,16.2235838384019,16.2235838384019,0,0.357975578553224
"26163502000_26163502600","26163502600","261635026001","261635026001",1,"Block Group 1; Census Tract 5026; Wayne County; Michigan",283,518,383,127,102,78,76,1.72679646508212,16.2235838384019,16.2235838384019,0,0.106437423585455
"26163502000_26163502600","26163502600","261635026002","261635026002",1,"Block Group 2; Census Tract 5026; Wayne County; Michigan",408,922,645,190,153,151,151,2.89453340274997,16.2235838384019,16.2235838384019,0,0.178415165944931
"26163502000_26163502600","26163502600","261635026003","261635026003",1,"Block Group 3; Census Tract 5026; Wayne County; Michigan",188,421,327,103,77,69,78,1.46849421489471,16.2235838384019,16.2235838384019,0,0.0905160185025655
"26163502000_26163502600","26163502600","261635026004","261635026004",1,"Block Group 4; Census Tract 5026; Wayne County; Michigan",411,840,629,185,138,153,153,2.81608936312243,16.2235838384019,16.2235838384019,0,0.173579980303528
"26163502000_26163502600","26163502600","261635026006_261635026005","261635026005,261635026006",2,"Block Group 5; Census Tract 5026; Wayne County; Michigan | Block Group 6; Census Tract 5026; Wayne County; Michigan",256,620,334,142,93,63,36,1.510023581794,16.2235838384019,16.2235838384019,0,0.0930758331102967
"26163503400_26163503500","26163503400","261635034001","261635034001",1,"Block Group 1; Census Tract 5034; Wayne County; Michigan",494,886,673,203,178,190,102,3.02548532125115,11.7464519609615,11.7464519609615,1.77635683940025e-15,0.257565887240346
"26163503400_26163503500","26163503500","261635035001","261635035001",1,"Block Group 1; Census Tract 5035; Wayne County; Michigan",431,1096,775,285,208,176,106,3.49370967137381,11.7464519609615,11.7464519609615,1.77635683940025e-15,0.297426804535098
"26163503400_26163503500","26163503500","261635035002","261635035002",1,"Block Group 2; Census Tract 5035; Wayne County; Michigan",585,1076,780,267,204,198,111,3.50973596631586,11.7464519609615,11.7464519609615,1.77635683940025e-15,0.298791156510938
"26163503400_26163503500","26163503500","261635035003","261635035003",1,"Block Group 3; Census Tract 5035; Wayne County; Michigan",223,537,382,129,98,99,56,1.71752100202068,11.7464519609615,11.7464519609615,1.77635683940025e-15,0.146216151713619
"26163505100","26163505100","261635051001","261635051001",1,"Block Group 1; Census Tract 5051; Wayne County; Michigan",689,1182,931,296,206,267,162,4.16444715593525,10.0762517604259,10.0762517604259,0,0.413293281564375
"26163505100","26163505100","261635051002","261635051002",1,"Block Group 2; Census Tract 5051; Wayne County; Michigan",234,381,304,86,69,80,69,1.36125398633388,10.0762517604259,10.0762517604259,0,0.135095273391258
