"PSU_ID","component_tracts","SSU_ID","component_bgs","n_bgs_combined","NAME","TotHH","TotPerson","TotAdult18plus","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","PSU_Si","Sij","pi1","pi2_cond","pi_joint","base_weight","rate_d1","rate_d2","rate_d3","rate_d4"
"26163500200","26163500200","261635002002","261635002002",1,"Block Group 2; Census Tract 5002; Wayne County; Michigan",764,2180,1480,538,394,347,201,9.40557997324471,6.66841306871016,0.174625559605269,0.708984782190918,0.123806864341709,8.07709657551771,0.0357552179130646,0.0396150493969173,0.0342938638431329,0.0354070094937069
"26163500900","26163500900","261635009002","261635009002",1,"Block Group 2; Census Tract 5009; Wayne County; Michigan",879,2049,1419,513,390,345,171,11.5841879968936,6.39812551705094,0.215073957936092,0.552315407758115,0.118788660775624,8.4183119286854,0.0372656900479124,0.0412885793521857,0.0357426013632695,0.0369027716324966
"26163501400","26163501400","261635014002","261635014002",1,"Block Group 2; Census Tract 5014; Wayne County; Michigan",412,990,709,238,185,189,97,12.0705553074988,3.18858960620141,0.224103934187397,0.26416262756532,0.0591998841026682,16.891924961639,0.0747761837843108,0.0828483893324576,0.0717200010259549,0.0740479628901061
"26163502000_26163502600","26163502600","261635026004","261635026004",1,"Block Group 4; Census Tract 5026; Wayne County; Michigan",411,840,629,185,138,153,153,16.2235838384019,2.81608936312243,0.301209751513769,0.173579980303528,0.0522839827349905,19.1263164680597,0.084667257200138,0.0938072195347862,0.0812068156724087,0.0838427103641295
"26163503400_26163503500","26163503500","261635035002","261635035002",1,"Block Group 2; Census Tract 5035; Wayne County; Michigan",585,1076,780,267,204,198,111,11.7464519609615,3.50973596631586,0.218086577637347,0.298791156510938,0.0651623407517753,15.3462872644389,0.067934045379584,0.0752676314262177,0.0651575081495841,0.0672724578423548
"26163505100","26163505100","261635051003","261635051003",1,"Block Group 3; Census Tract 5051; Wayne County; Michigan",518,1325,1018,310,220,290,198,10.0762517604259,4.55055061815681,0.187077363372941,0.451611445044367,0.0844862784079439,11.8362415630557,0.0523959807093928,0.0580522084650502,0.0502545008324164,0.0518857133221859
"26163506100_26163505800","26163505800","261635058002","261635058002",1,"Block Group 2; Census Tract 5058; Wayne County; Michigan",311,1513,905,433,233,117,122,16.1841350688584,4.0911177407334,0.300477339107849,0.252785689400576,0.0759563713156283,13.1654525180595,0.0582800538914133,0.0645714765150331,0.0558980856383562,0.0577124834323281
"26163506900","26163506900","261635069001","261635069001",1,"Block Group 1; Census Tract 5069; Wayne County; Michigan",430,1094,760,255,172,187,146,11.4692743160636,3.40639049336671,0.212940451456074,0.297001396905801,0.0632436115402059,15.8118737315352,0.0699950762751239,0.0775511538182194,0.0671343025039072,0.0693134170294205
"26163508000","26163508000","261635080002_261635080001","261635080001,261635080002",2,"Block Group 1; Census Tract 5080; Wayne County; Michigan | Block Group 2; Census Tract 5080; Wayne County; Michigan",629,1098,835,270,210,270,85,3.7441682133846,3.7441682133846,0.0695148487789626,1,0.0695148487789626,14.3854157430409,0.0636805156225944,0.0705549265045444,0.0610778247116707,0.0630603518260056
"26163511400","26163511400","261635114003_261635114002","261635114002,261635114003",2,"Block Group 2; Census Tract 5114; Wayne County; Michigan | Block Group 3; Census Tract 5114; Wayne County; Michigan",625,979,843,247,154,230,212,7.47631922916947,3.75458320260271,0.1388065842718,0.502196747826644,0.0697082151982231,14.3455114602545,0.063503869681401,0.0703592113587674,0.0609083984793804,0.0628854261820879
"26163513900","26163513900","261635139002","261635139002",1,"Block Group 2; Census Tract 5139; Wayne County; Michigan",452,791,553,211,122,143,77,5.2025162788596,2.47709669924079,0.0965907811252141,0.476134348547156,0.0459901886467147,21.7437681693753,0.0962540390446352,0.10664481253274,0.0923200333270012,0.0953166523148432
"26163515700","26163515700","261635157001","261635157001",1,"Block Group 1; Census Tract 5157; Wayne County; Michigan",1429,1766,1663,551,278,358,476,19.5478381154871,7.40922781073121,0.362928408423552,0.379030548900501,0.137560953856364,7.2695046956723,0.0321802174932085,0.0356541221115364,0.0308649775212601,0.0318668248383199
"26163516700","26163516700","261635167003","261635167003",1,"Block Group 3; Census Tract 5167; Wayne County; Michigan",787,1254,1090,269,226,298,297,11.608518711928,4.86642788775654,0.215525686031601,0.419211788215166,0.090350908247608,11.0679573608655,0.0489949852140885,0.0542840702069431,0.0469925076673724,0.0485178390140756
"26163517500","26163517500","261635175001","261635175001",1,"Block Group 1; Census Tract 5175; Wayne County; Michigan",921,1464,1246,324,166,331,425,11.2043946790333,5.51683842752214,0.208022652130989,0.492381657872672,0.102426538331326,9.76309476324611,0.0432186959140562,0.0478842214769469,0.0414523015006671,0.0427978031138074
"26163520300","26163520300","261635203003","261635203003",1,"Block Group 3; Census Tract 5203; Wayne County; Michigan",634,1433,1395,1201,101,56,37,11.1896940654173,6.21184257982527,0.207749718097518,0.55513962611574,0.115330100830307,8.67076325088254,0.0383832267708185,0.0425267559055613,0.0368144631628038,0.0380094250293157
"26163521800_26163521900","26163521800","261635218001","261635218001",1,"Block Group 1; Census Tract 5218; Wayne County; Michigan",901,1466,1179,282,207,249,441,16.0225471384131,5.25398570681209,0.29747727075909,0.327912014327358,0.0975463710712179,10.2515346190573,0.0453808928518631,0.050279830943105,0.0435261271327042,0.0449389431200111
"26163523300","26163523300","261635233003","261635233003",1,"Block Group 3; Census Tract 5233; Wayne County; Michigan",330,934,646,277,165,136,68,9.15145629901498,2.91098669191551,0.169907457271596,0.318089995384542,0.0540458622993211,18.5028040530045,0.0819071289704749,0.0907491311621803,0.0785594968411321,0.0811094621241342
"26163524200","26163524200","261635242001","261635242001",1,"Block Group 1; Census Tract 5242; Wayne County; Michigan",547,1593,1070,430,347,182,111,13.0806488632345,4.86472171642707,0.242857498871954,0.371902171466449,0.0903192311873907,11.0718391515672,0.0490121688977466,0.054303108896026,0.0470089890354661,0.0485348553514365
